link,title,artist,genre
https://youtu.be/k1-TrAvp_xs,"Requiem in D minor, K. 626: Lacrimosa",Wolfgang Amadeus Mozart,classic
https://www.youtube.com/watch?v=fOk8Tm815lE,"Symphony No. 5 in C minor, Op. 67 (Complete)",Ludwig van Beethoven,classic
https://www.youtube.com/watch?v=3cvmONlV5WU&list=RD3cvmONlV5WU&start_radio=1,Für Elise,Ludwig van Beethoven,classic
https://www.youtube.com/watch?v=zucBfXpCA6s,Piano Sonata No. 14 'Moonlight' – 3rd mvt,Ludwig van Beethoven,classic
https://www.youtube.com/watch?v=9rJoB7y6Ncs,Swan Lake (Selection),Pyotr Ilyich Tchaikovsky,classic
https://www.youtube.com/watch?v=GRxofEmo3HA,The Four Seasons: Spring (Allegro),Antonio Vivaldi,classic
https://www.youtube.com/watch?v=Yu6Hr9kd-U0,The Four Seasons: Winter (complete),Antonio Vivaldi,classic
https://www.youtube.com/watch?v=ho9rZjlsyYY,"Toccata and Fugue in D minor, BWV 565",Johann Sebastian Bach,classic
https://www.youtube.com/watch?v=GMkmQlfOJDk,"Air on the G String, BWV 1068",Johann Sebastian Bach,classic
https://www.youtube.com/watch?v=QLj_gMBqHX8,"Brandenburg Concerto No. 3, BWV 1048 (Complete)",Johann Sebastian Bach,classic
https://www.youtube.com/watch?v=IUZEtVbJT5c,"Hallelujah Chorus (Messiah, HWV 56)",George Frideric Handel,classic
https://www.youtube.com/watch?v=NlprozGcs80,Canon in D,Johann Pachelbel,classic
https://www.youtube.com/watch?v=LlvUepMa31o,Clair de lune (Suite bergamasque),Claude Debussy,classic
https://www.youtube.com/watch?v=9E6b3swbnWg,"Nocturne in E-flat major, Op. 9 No. 2",Fr�d�ric Fran�ois Chopin,classic
https://www.youtube.com/watch?v=fBA-38mzabs&list=RDfBA-38mzabs&start_radio=1,Fantaisie Impromptu,Fr�d�ric Fran�ois Chopin,classic
https://www.youtube.com/watch?v=wXQCPAR0EHo&list=RDwXQCPAR0EHo&start_radio=1,"Prelude in C-sharp minor, Op. 3 No. 2",Sergei Rachmaninoff,classic
https://www.youtube.com/watch?v=S-Xm7s9eGxU,Gymnopédie No. 1,Erik Satie,classic
https://www.youtube.com/watch?v=3qrKjywjo7Q,Le Cygne (The Swan) – Carnival of the Animals,Camille Saint-Sa�ns,classic
https://www.youtube.com/watch?v=kLp_Hh6DKWc,In the Hall of the Mountain King,Edvard Grieg,classic
https://www.youtube.com/watch?v=t3217H8JppI,"Symphony No. 9 in D minor, Op. 125: IV 'Ode to Joy'",Ludwig van Beethoven,classic
https://www.youtube.com/watch?v=o1FSN8_pp_o,"Eine kleine Nachtmusik, K. 525: I. Allegro",Wolfgang Amadeus Mozart,classic
https://www.youtube.com/watch?v=erOEatu5aH8&list=RDerOEatu5aH8&start_radio=1,The Firebird (Finale),Igor Stravinsky,classic
https://www.youtube.com/watch?v=bBsKplb2E6Q&list=RDbBsKplb2E6Q&start_radio=1,Dance of the Knights (Romeo and Juliet),Sergei Prokofiev,classic
https://www.youtube.com/watch?v=rrVDATvUitA,Symphony No. 9 'From the New World' – II. Largo,Anton�n Dvo?�k,classic
https://www.youtube.com/watch?v=kn1gcjuhlhg,Adagio in G minor,Tomaso Albinoni (attrib.),classic
https://www.youtube.com/watch?v=XFkzRNyygfk,Creep,Radiohead,rock
https://www.youtube.com/watch?v=1uYWYWPc9HU&list=RD1uYWYWPc9HU&start_radio=1,Karma Police,Radiohead,rock
https://www.youtube.com/watch?v=hTWKbfoikeg,Smells Like Teen Spirit,Nirvana,rock
https://www.youtube.com/watch?v=vabnZ9-ex7o,Come As You Are,Nirvana,rock
https://www.youtube.com/watch?v=YlUKcNNmywk,Californication,Red Hot Chili Peppers,rock
https://www.youtube.com/watch?v=GLvohMXgcBo,Under The Bridge,Red Hot Chili Peppers,rock
https://www.youtube.com/watch?v=6hzrDeceEKc,Wonderwall,Oasis,rock
https://www.youtube.com/watch?v=r8OipmKFDeM,Don't Look Back In Anger,Oasis,rock
https://www.youtube.com/watch?v=6Ejga4kJUts,Zombie,The Cranberries,rock
https://www.youtube.com/watch?v=4aeETEoNfOg,1979,The Smashing Pumpkins,rock
https://www.youtube.com/watch?v=SSbBvKaM6sk,Song 2,Blur,rock
https://www.youtube.com/watch?v=Xsp3_a-PMTw,Supermassive Black Hole,Muse,rock
https://www.youtube.com/watch?v=u5CVsCnxyXg,No Surprises,Radiohead,rock
https://www.youtube.com/watch?v=yKNxeF4KMsY,Yellow,Coldplay,rock
https://www.youtube.com/watch?v=eVTXPUF4Oz4,In The End,Linkin Park,rock
https://www.youtube.com/watch?v=SBjQ9tuuTJQ,The Pretender,Foo Fighters,rock
https://www.youtube.com/watch?v=bpOSxM0rNPM,Do I Wanna Know?,Arctic Monkeys,rock
https://www.youtube.com/watch?v=gGdGFtwCNBE,Mr. Brightside,The Killers,rock
https://www.youtube.com/watch?v=NUTGr5t3MoY,Basket Case,Green Day,rock
https://www.youtube.com/watch?v=Soa3gO7tL-c,Boulevard of Broken Dreams,Green Day,rock
https://www.youtube.com/watch?v=qM0zINtulhM,Alive,Pearl Jam,rock
https://www.youtube.com/watch?v=3mbBbFH9fAg,Black Hole Sun,Soundgarden,rock
https://www.youtube.com/watch?v=fHiGbolFFGw&list=RDfHiGbolFFGw&start_radio=1,Paranoid Android,Radiohead,rock
https://www.youtube.com/watch?v=1lyu1KKwC74,Bitter Sweet Symphony,The Verve,rock
https://www.youtube.com/watch?v=5NPBIwQyPWE&list=RD5NPBIwQyPWE&start_radio=1,Complicated,Avril Lavigne,rock
